1784008679.409025, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127745247109044
1784008679.445715, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127745283808473
1784008679.445869, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127745283960249
1784008679.501447, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127745339540930
1784008679.501928, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127745340013795
1784008679.836577, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127745674661610
1784008679.836955, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 37218691040408823589868289427602187815, 1784008679.408534, 1, 26, 6127745675048955
1784008679.837547, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 32756813426168475477907648031518418280, 1784008679.837403, 1, 27, 6127745675623533
1784008679.838162, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127745676262286
1784008679.877056, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127745715147417
1784008679.877207, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127745715297865
1784008679.919587, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127745757674638
1784008679.920043, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127745758139295
1784008680.257167, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127746095251676
1784008680.257371, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 32756813426168475477907648031518418280, 1784008679.837403, 1, 27, 6127746095467853
1784008680.257976, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 26724509517345727571012488206044452712, 1784008680.257808, 1, 28, 6127746096052334
1784008680.258297, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127746096382399
1784008680.296136, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127746134225287
1784008680.296293, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127746134380567
1784008680.335207, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127746173295106
1784008680.335661, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127746173755043
1784008680.674124, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127746512208196
1784008680.674708, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 26724509517345727571012488206044452712, 1784008680.257808, 1, 28, 6127746512826277
1784008680.675388, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 17130006876460662502982025440283867430, 1784008680.675238, 1, 29, 6127746513464087
1784008680.675694, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127746513774888
1784008680.712690, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127746550780989
