1784016633.458334, BG indexer pilot, pipeline - passages, run, end, 283674943928730781882807190764931288558, 1784016633.333035, 1, 24, 108502828218416
1784016633.458520, BG indexer pilot, pipeline - passages, run, start, 110923474670486489013620075393919343716, 1784016633.458489, 1, 25, 108502828402083
1784016633.458596, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108502828478125
1784016633.458665, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108502828545708
1784016633.458712, BG indexer pilot, Embed passages, run, start, 108502828592416
1784016633.547880, BG indexer pilot, Embed passages, run, end, 108502917775916
1784016633.547957, BG indexer pilot, Chroma indexer, run, start, 108502917843250
1784016633.566802, BG indexer pilot, Chroma indexer, run, end, 108502936688333
1784016633.566856, BG indexer pilot, pipeline - passages, run, end, 110923474670486489013620075393919343716, 1784016633.458489, 1, 25, 108502936740000
1784016633.567029, BG indexer pilot, pipeline - passages, run, start, 26143272302033055704336576933418389091, 1784016633.566999, 1, 26, 108502936911416
1784016633.567106, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108502936988458
1784016633.567186, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108502937066791
1784016633.567221, BG indexer pilot, Embed passages, run, start, 108502937106875
1784016633.657027, BG indexer pilot, Embed passages, run, end, 108503026921875
1784016633.657096, BG indexer pilot, Chroma indexer, run, start, 108503026982000
1784016633.675084, BG indexer pilot, Chroma indexer, run, end, 108503044971041
1784016633.675134, BG indexer pilot, pipeline - passages, run, end, 26143272302033055704336576933418389091, 1784016633.566999, 1, 26, 108503045018500
1784016633.675300, BG indexer pilot, pipeline - passages, run, start, 134476001997755181971014877008918187319, 1784016633.675273, 1, 27, 108503045182125
1784016633.675375, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503045257583
1784016633.675441, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503045322583
1784016633.675482, BG indexer pilot, Embed passages, run, start, 108503045362916
1784016633.766036, BG indexer pilot, Embed passages, run, end, 108503135930375
1784016633.766095, BG indexer pilot, Chroma indexer, run, start, 108503135980708
1784016633.781526, BG indexer pilot, Chroma indexer, run, end, 108503151412916
1784016633.781571, BG indexer pilot, pipeline - passages, run, end, 134476001997755181971014877008918187319, 1784016633.675273, 1, 27, 108503151455500
1784016633.781735, BG indexer pilot, pipeline - passages, run, start, 78781992462911678108438208504421869504, 1784016633.781713, 1, 28, 108503151619041
1784016633.781797, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108503151679250
1784016633.781867, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108503151748333
1784016633.781903, BG indexer pilot, Embed passages, run, start, 108503151783291
1784016633.870184, BG indexer pilot, Embed passages, run, end, 108503240075458
1784016633.870244, BG indexer pilot, Chroma indexer, run, start, 108503240144666
