1784081773.761021, ResNet50-v1.5 inference, pipeline - val, run, end, 243930234166918654885406588843478105803, 1784081773.754193, 1, 19, 6200839599097545
1784081773.761400, ResNet50-v1.5 inference, pipeline - val, run, start, 44860533822505965162160344166696048699, 1784081773.761349, 1, 20, 6200839599471465
1784081773.761568, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839599643145
1784081773.763381, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839601456060
1784081773.763437, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839601502236
1784081773.764270, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839602332045
1784081773.764305, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839602372829
1784081773.767234, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839605297777
1784081773.767293, ResNet50-v1.5 inference, pipeline - val, run, end, 44860533822505965162160344166696048699, 1784081773.761349, 1, 20, 6200839605368865
1784081773.767758, ResNet50-v1.5 inference, pipeline - val, run, start, 227272002223361553815211475400511268815, 1784081773.767708, 1, 21, 6200839605828098
1784081773.768043, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839606122610
1784081773.769812, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839607889237
1784081773.769914, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839607997093
1784081773.771199, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839609263111
1784081773.771238, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839609305703
1784081773.774269, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839612333595
1784081773.774412, ResNet50-v1.5 inference, pipeline - val, run, end, 227272002223361553815211475400511268815, 1784081773.767708, 1, 21, 6200839612499419
1784081773.774992, ResNet50-v1.5 inference, pipeline - val, run, start, 168972991156245288780571282688833717722, 1784081773.774820, 1, 22, 6200839613075100
1784081773.775325, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839613403373
1784081773.777372, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839615450079
1784081773.777491, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839615574223
1784081773.779046, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839617110946
1784081773.779087, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839617154338
1784081773.781965, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839620028550
