1783998740.759709, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90610180449875
1783998740.761128, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90610181858958
1783998741.331205, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90610751953541
1783998741.331295, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 177955766099956448780463875460132753843, 1783998740.598569, 1, 26, 90610752032583
1783998741.331854, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 271041438089664586799519604955615949519, 1783998741.331781, 1, 27, 90610752599833
1783998741.332062, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90610752797916
1783998741.401179, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90610821919833
1783998741.401262, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90610822002958
1783998741.496623, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90610917372333
1783998741.506751, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90610927489291
1783998742.097308, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90611518077041
1783998742.097458, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 271041438089664586799519604955615949519, 1783998741.331781, 1, 27, 90611518199208
1783998742.097843, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 142977807293518412734031419734923561061, 1783998742.097784, 1, 28, 90611518580791
1783998742.098019, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90611518757583
1783998742.247278, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90611668051625
1783998742.247409, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90611668146416
1783998742.333432, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90611754195958
1783998742.350400, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90611771149250
1783998742.931319, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90612352109791
1783998742.931536, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 142977807293518412734031419734923561061, 1783998742.097784, 1, 28, 90612352298291
1783998742.932480, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 728924370412078883142421357640607889, 1783998742.932354, 1, 29, 90612353248416
1783998742.932846, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90612353597125
1783998742.996459, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90612417208875
1783998742.996542, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90612417277500
1783998743.068610, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90612489353583
1783998743.070169, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90612490903875
1783998743.640582, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90613061361458
1783998743.640750, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 728924370412078883142421357640607889, 1783998742.932354, 1, 29, 90613061503000
