1782435942.018986, baseline_finetune, training_step, run, start, 4555007857078687
1782435942.057586, baseline_finetune, training_step, run, end, 4555007895682291
1782435942.083103, baseline_finetune, training_step, run, start, 4555007921197349
1782435942.122351, baseline_finetune, training_step, run, end, 4555007960444955
1782435942.153067, baseline_finetune, training_step, run, start, 4555007991159179
1782435942.192127, baseline_finetune, training_step, run, end, 4555008030219216
1782435942.215124, baseline_finetune, training_step, run, start, 4555008053218620
1782435942.254170, baseline_finetune, training_step, run, end, 4555008092263761
1782435942.301179, baseline_finetune, training_step, run, start, 4555008139270379
1782435942.340994, baseline_finetune, training_step, run, end, 4555008179117491
1782435942.361786, baseline_finetune, training_step, run, start, 4555008199878249
1782435942.399742, baseline_finetune, training_step, run, end, 4555008237833819
1782435942.431429, baseline_finetune, training_step, run, start, 4555008269516301
1782435942.470577, baseline_finetune, training_step, run, end, 4555008308670595
1782435942.494832, baseline_finetune, training_step, run, start, 4555008332917938
1782435942.533630, baseline_finetune, training_step, run, end, 4555008371712119
1782435942.567778, baseline_finetune, training_step, run, start, 4555008405864079
1782435942.606778, baseline_finetune, training_step, run, end, 4555008444874437
1782435942.637667, baseline_finetune, training_step, run, start, 4555008475752197
1782435942.677698, baseline_finetune, training_step, run, end, 4555008515799245
1782435942.702296, baseline_finetune, training_step, run, start, 4555008540370461
1782435942.741114, baseline_finetune, training_step, run, end, 4555008579194257
1782435942.777246, baseline_finetune, training_step, run, start, 4555008615324639
1782435942.815423, baseline_finetune, training_step, run, end, 4555008653501939
1782435942.840178, baseline_finetune, training_step, run, start, 4555008678266947
1782435942.879238, baseline_finetune, training_step, run, end, 4555008717332680
1782435942.903359, baseline_finetune, training_step, run, start, 4555008741439767
1782435942.941576, baseline_finetune, training_step, run, end, 4555008779661786
1782435942.966709, baseline_finetune, training_step, run, start, 4555008804786987
1782435943.005351, baseline_finetune, training_step, run, end, 4555008843448128
1782435943.030155, baseline_finetune, training_step, run, start, 4555008868233328
1782435943.068588, baseline_finetune, training_step, run, end, 4555008906683011
1782435943.089903, baseline_finetune, training_step, run, start, 4555008927989275
1782435943.128808, baseline_finetune, training_step, run, end, 4555008966894687
1782435943.152575, baseline_finetune, training_step, run, start, 4555008990655341
1782435943.191897, baseline_finetune, training_step, run, end, 4555009029993907
1782435943.245225, baseline_finetune, training_step, run, start, 4555009083314669
1782435943.283303, baseline_finetune, training_step, run, end, 4555009121386704
1782435943.315250, baseline_finetune, training_step, run, start, 4555009153341011
1782435943.353426, baseline_finetune, training_step, run, end, 4555009191511254
1782435943.381036, baseline_finetune, training_step, run, start, 4555009219125613
1782435943.419547, baseline_finetune, training_step, run, end, 4555009257646161
1782435943.459186, baseline_finetune, training_step, run, start, 4555009297283224
1782435943.500215, baseline_finetune, training_step, run, end, 4555009338337394
1782435943.525690, baseline_finetune, training_step, run, start, 4555009363784340
1782435943.564780, baseline_finetune, training_step, run, end, 4555009402877801
1782435943.589445, baseline_finetune, training_step, run, start, 4555009427538121
1782435943.628489, baseline_finetune, training_step, run, end, 4555009466615422
