# E2 collection
# started      : 2026-08-28 18:09:59 +0200
# machine      : gb10
# git_commit   : a64f8e2f497dac51297c190384fa5d4cb93ff32b
# git_dirty    : yes
# host         : spark-cc0d
# platform     : Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39
# python       : 3.10.19
# torch        : 2.10.0+cu130
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : 5-9,15-19
# runs         : 11
[08-28 18:10:01] pinning workload to core(s) [5-9,15-19]
[08-28 18:10:01] E2 collection: 9 cell(s) x 3 configurations x 11 runs on gb10
[08-28 20:12:07]   mod_meffv2s_b32_choreo-traced_gb10_r6 rc=0 87s rows=603 spans=2401
[08-28 20:13:32]   mod_meffv2s_b32_monolith_gb10_r6 rc=0 85s rows=605 spans=n/a
[08-28 20:14:59]   mod_meffv2s_b32_choreo_gb10_r6 rc=0 87s rows=602 spans=n/a
[08-28 20:16:24]   mod_meffv2s_b32_monolith_gb10_r7 rc=0 85s rows=605 spans=n/a
[08-28 20:17:50]   mod_meffv2s_b32_choreo_gb10_r7 rc=0 86s rows=602 spans=n/a
[08-28 20:19:17]   mod_meffv2s_b32_choreo-traced_gb10_r7 rc=0 87s rows=603 spans=2401
[08-28 20:20:43]   mod_meffv2s_b32_choreo_gb10_r8 rc=0 86s rows=602 spans=n/a
[08-28 20:22:10]   mod_meffv2s_b32_choreo-traced_gb10_r8 rc=0 87s rows=603 spans=2401
[08-28 20:23:35]   mod_meffv2s_b32_monolith_gb10_r8 rc=0 85s rows=605 spans=n/a
[08-28 20:25:03]   mod_meffv2s_b32_choreo-traced_gb10_r9 rc=0 88s rows=603 spans=2401
[08-28 20:26:28]   mod_meffv2s_b32_monolith_gb10_r9 rc=0 85s rows=605 spans=n/a
[08-28 20:27:54]   mod_meffv2s_b32_choreo_gb10_r9 rc=0 86s rows=602 spans=n/a
[08-28 20:29:20]   mod_meffv2s_b32_monolith_gb10_r10 rc=0 86s rows=605 spans=n/a
[08-28 20:30:46]   mod_meffv2s_b32_choreo_gb10_r10 rc=0 86s rows=602 spans=n/a
[08-28 20:32:13]   mod_meffv2s_b32_choreo-traced_gb10_r10 rc=0 87s rows=603 spans=2401
[08-28 20:33:39]   mod_meffv2s_b32_choreo_gb10_r11 rc=0 86s rows=602 spans=n/a
[08-28 20:35:06]   mod_meffv2s_b32_choreo-traced_gb10_r11 rc=0 87s rows=603 spans=2401
[08-28 20:36:31]   mod_meffv2s_b32_monolith_gb10_r11 rc=0 85s rows=605 spans=n/a
[08-28 20:36:45]   mod_meffv2s_b4_monolith_gb10_r1 rc=0 14s rows=605 spans=n/a
[08-28 20:36:59]   mod_meffv2s_b4_choreo_gb10_r1 rc=0 14s rows=602 spans=n/a
[08-28 20:37:15]   mod_meffv2s_b4_choreo-traced_gb10_r1 rc=0 16s rows=603 spans=2401
[08-28 20:37:29]   mod_meffv2s_b4_choreo_gb10_r2 rc=0 14s rows=602 spans=n/a
[08-28 20:37:45]   mod_meffv2s_b4_choreo-traced_gb10_r2 rc=0 16s rows=603 spans=2401
[08-28 20:37:58]   mod_meffv2s_b4_monolith_gb10_r2 rc=0 13s rows=605 spans=n/a
[08-28 20:38:13]   mod_meffv2s_b4_choreo-traced_gb10_r3 rc=0 15s rows=603 spans=2401
[08-28 20:38:27]   mod_meffv2s_b4_monolith_gb10_r3 rc=0 14s rows=605 spans=n/a
[08-28 20:38:41]   mod_meffv2s_b4_choreo_gb10_r3 rc=0 14s rows=602 spans=n/a
[08-28 20:38:55]   mod_meffv2s_b4_monolith_gb10_r4 rc=0 14s rows=605 spans=n/a
[08-28 20:39:09]   mod_meffv2s_b4_choreo_gb10_r4 rc=0 14s rows=602 spans=n/a
[08-28 20:39:24]   mod_meffv2s_b4_choreo-traced_gb10_r4 rc=0 15s rows=603 spans=2401
[08-28 20:39:39]   mod_meffv2s_b4_choreo_gb10_r5 rc=0 15s rows=602 spans=n/a
[08-28 20:39:54]   mod_meffv2s_b4_choreo-traced_gb10_r5 rc=0 15s rows=603 spans=2401
[08-28 20:40:08]   mod_meffv2s_b4_monolith_gb10_r5 rc=0 14s rows=605 spans=n/a
[08-28 20:40:23]   mod_meffv2s_b4_choreo-traced_gb10_r6 rc=0 15s rows=603 spans=2401
[08-28 20:40:37]   mod_meffv2s_b4_monolith_gb10_r6 rc=0 14s rows=605 spans=n/a
[08-28 20:40:52]   mod_meffv2s_b4_choreo_gb10_r6 rc=0 15s rows=602 spans=n/a
[08-28 20:41:05]   mod_meffv2s_b4_monolith_gb10_r7 rc=0 13s rows=605 spans=n/a
[08-28 20:41:20]   mod_meffv2s_b4_choreo_gb10_r7 rc=0 15s rows=602 spans=n/a
[08-28 20:41:35]   mod_meffv2s_b4_choreo-traced_gb10_r7 rc=0 15s rows=603 spans=2401
