# E2 collection
# started      : 2026-08-28 18:51:50 +0200
# machine      : m2pro
# git_commit   : d242d80917d7efd10b759e41aea271892ef949ae
# git_dirty    : yes
# host         : mac623807 
# platform     : macOS-26.5.2-arm64-arm-64bit
# python       : 3.10.20
# torch        : 2.10.0
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : none
# runs         : 11
[08-28 18:51:54] E2 collection: 9 cell(s) x 3 configurations x 11 runs on m2pro
[08-28 22:09:11]   mod_meffv2s_b2_monolith_m2pro_r4 rc=0 17s rows=605 spans=n/a
[08-28 22:09:29]   mod_meffv2s_b2_choreo_m2pro_r4 rc=0 18s rows=602 spans=n/a
[08-28 22:09:49]   mod_meffv2s_b2_choreo-traced_m2pro_r4 rc=0 20s rows=603 spans=2401
[08-28 22:10:08]   mod_meffv2s_b2_choreo_m2pro_r5 rc=0 18s rows=602 spans=n/a
[08-28 22:10:27]   mod_meffv2s_b2_choreo-traced_m2pro_r5 rc=0 19s rows=603 spans=2401
[08-28 22:10:44]   mod_meffv2s_b2_monolith_m2pro_r5 rc=0 17s rows=605 spans=n/a
[08-28 22:11:04]   mod_meffv2s_b2_choreo-traced_m2pro_r6 rc=0 20s rows=603 spans=2401
[08-28 22:11:21]   mod_meffv2s_b2_monolith_m2pro_r6 rc=0 17s rows=605 spans=n/a
[08-28 22:11:40]   mod_meffv2s_b2_choreo_m2pro_r6 rc=0 19s rows=602 spans=n/a
[08-28 22:11:58]   mod_meffv2s_b2_monolith_m2pro_r7 rc=0 18s rows=605 spans=n/a
[08-28 22:12:16]   mod_meffv2s_b2_choreo_m2pro_r7 rc=0 18s rows=602 spans=n/a
[08-28 22:12:36]   mod_meffv2s_b2_choreo-traced_m2pro_r7 rc=0 20s rows=603 spans=2401
[08-28 22:12:54]   mod_meffv2s_b2_choreo_m2pro_r8 rc=0 18s rows=602 spans=n/a
[08-28 22:13:14]   mod_meffv2s_b2_choreo-traced_m2pro_r8 rc=0 20s rows=603 spans=2401
[08-28 22:13:31]   mod_meffv2s_b2_monolith_m2pro_r8 rc=0 17s rows=605 spans=n/a
[08-28 22:13:52]   mod_meffv2s_b2_choreo-traced_m2pro_r9 rc=0 21s rows=603 spans=2401
[08-28 22:14:09]   mod_meffv2s_b2_monolith_m2pro_r9 rc=0 17s rows=605 spans=n/a
[08-28 22:14:28]   mod_meffv2s_b2_choreo_m2pro_r9 rc=0 19s rows=602 spans=n/a
